pincode,area,state,lat,lon,cell_id,geo_source
110010,505 A B Workshop,Delhi,28.5724,77.0274,28.50_77.00,geonames
110036,Alipur,Delhi,28.8127,77.1616,28.75_77.25,geonames
110039,Barwala,Delhi,28.805,77.0309,28.75_77.00,geonames
110040,Kanya Gurukul,Delhi,28.8408,77.0939,28.75_77.00,geonames
110041,Mundka,Delhi,28.6735,77.014,28.75_77.00,geonames
110042,Siraspur,Delhi,28.7581,77.1309,28.75_77.25,geonames
110043,Gopal Nagar,Delhi,28.6056,76.9946,28.50_77.00,geonames
110061,Bijwasan,Delhi,28.5346,77.0536,28.50_77.00,geonames
110071,Qutub Vihar,Delhi,28.5677,77.0759,28.50_77.00,geonames
110072,CRPF Jharoda Kalan,Delhi,28.6526,76.9521,28.75_77.00,geonames
110073,Dhansa,Delhi,28.5654,76.9144,28.50_77.00,geonames
110081,Jaunti,Delhi,28.7299,76.9929,28.75_77.00,geonames
110082,Naya Bans,Delhi,28.7848,77.1046,28.75_77.00,geonames
110097,Kapashera.,Delhi,28.5724,77.0274,28.50_77.00,geonames
110099,,Delhi,28.6268,77.1503,28.75_77.25,prefix4
120001,,Delhi,28.7662,76.3709,28.75_76.25,prefix2
121000,,Delhi,28.3473,77.3555,28.25_77.25,prefix4
121014,Greater Faridabad,Haryana,28.3327,77.3548,28.25_77.25,geonames
121015,Sector 55,Haryana,28.3327,77.3548,28.25_77.25,geonames
121102,Rasulpur,Haryana,28.3222,77.3556,28.25_77.25,geonames
121103,Madnaka,Haryana,28.3327,77.3548,28.25_77.25,geonames
121105,Khatela Sarai,Haryana,28.3327,77.3548,28.25_77.25,geonames
121106,Ali Meo,Haryana,28.3327,77.3548,28.25_77.25,geonames
121107,Likhi,Haryana,28.3327,77.3548,28.25_77.25,geonames
122000,,Delhi,28.4055,76.9699,28.50_77.00,prefix4
122019,,Delhi,28.4055,76.9699,28.50_77.00,prefix4
122050,,Delhi,28.4055,76.9699,28.50_77.00,prefix4
122052,IMT Manesar,Haryana,28.3553,76.9215,28.25_77.00,geonames
122055,,Delhi,28.4055,76.9699,28.50_77.00,prefix4
122100,,Delhi,28.3671,76.941,28.25_77.00,prefix4
122101,Teekli,Haryana,28.381,76.9397,28.50_77.00,geonames
122102,Maruthi Kunj,Haryana,28.3681,76.9408,28.25_77.00,geonames
122103,Garhi Bajidpur,Haryana,28.358,76.9512,28.25_77.00,geonames
122104,Agon,Haryana,28.3681,76.9408,28.25_77.00,geonames
122105,Sundh,Haryana,28.3585,76.9327,28.25_77.00,geonames
122107,Nuh,Haryana,28.3681,76.9408,28.25_77.00,geonames
122108,Bhadas,Haryana,28.3681,76.9408,28.25_77.00,geonames
122207,,Delhi,28.3914,76.9401,28.50_77.00,prefix3
122210,,Delhi,28.3914,76.9401,28.50_77.00,prefix3
